codigo_postal,tipo,localidad,precio(mxn_peso),habitaciones,baños,area(m2)
21376,Fraccionamiento,Residencial Segovia,3250000,2,1,155
21230,Fraccionamiento,Los Pinos,7950000,4,3,370
21298,Fraccionamiento,Misión de Santo Domingo,3450000,3,2,122
21387,Fraccionamiento,Lago del Sol Residencial,4500000,3,2,148
21378,Fraccionamiento,Adara Residencial,6000000,3,3,186
21240,Colonia,Santa Maria,3300000,3,2,110
21355,Fraccionamiento,Villa Residencial del Prado Segunda Etapa,497000,2,1,105
21387,Fraccionamiento,Vista del Valle,470000,2,1,99
21376,Fraccionamiento,Mayakhan Residencial,3900000,3,2,115
21000,Colonia,Centro Cívico,3500000,3,2,101
21280,Colonia,Insurgentes Oeste,6700000,3,3,279
21378,Fraccionamiento,Adara Residencial,4260000,2,2,113
21338,Fraccionamiento,Residencial del Bosque,3800000,4,2,146
21378,Fraccionamiento,Adara Residencial,4460000,2,2,211
21384,Fraccionamiento,Huertas del Colorado,1150000,2,1,63
21370,Colonia,Maestros Federales,3357000,3,2,111
21360,Colonia,Vazquez,3600000,3,2,180
21395,Fraccionamiento,Bugambilias,3420000,3,2,101
21395,Fraccionamiento,La Condesa,2002443,2,1,79
21188,Colonia,Ampliación Progreso,2807990,3,2,105
21226,Fraccionamiento,Aurea Residencial,8500000,3,2,240
21270,Colonia,Santa Teresa,9000000,2,3,450
21399,Fraccionamiento,Punta de Estrella,2500000,3,2,82
21395,Colonia,Ampliación Bugambilias,1270000,2,1,49
21320,Fraccionamiento,Madeira Residencia,436000,2,2,80
21327,Fraccionamiento,Hacienda de Los Portales,1050000,2,1,46
21260,Colonia,Ampliación las Fuentes,2850000,4,2,126
21378,Colonia,Sombras Jery,1200000,2,2,170
21378,Colonia,Sombras Jery,1750000,2,3,142
21225,Fraccionamiento,Residencial Marsella,3300000,3,3,190
21320,Fraccionamiento,Camino Viejo,3790000,3,2,184
21323,Fraccionamiento,Residencial Barcelona,2550000,3,2,103
21378,Fraccionamiento,Adara Residencial,4500000,3,2,127
21395,Colonia,Parque Industrial Condesa,2900000,2,1,78
21383,Fraccionamiento,Privadas Campestre,2370600,3,2,89
21378,Colonia,Saturno (Abasolo),2960000,3,2,109
21180,Fraccionamiento,Villafontana,5500000,3,2,293
21255,Fraccionamiento,Montecarlo,3990000,3,3,120
21254,Fraccionamiento,San Pedro Residencial,12000000,4,2,333
21395,Fraccionamiento,La Condesa,1698531,2,1,72
21255,Fraccionamiento,Residencial Puerta de Alcalá,7950000,3,2,170
21225,Fraccionamiento,Cerrada del Sol,7000000,3,2,198
21240,Fraccionamiento,Cataviña,13495000,4,4,497
21355,Fraccionamiento,Buenos Aires,900000,2,1,39
21188,Colonia,Ampliación Progreso,2254980,3,2,83
21200,Colonia,Cuauhtémoc Norte,4450000,3,2,336
21378,Fraccionamiento,Villa del Cedro,5000000,3,4,218
21730,Colonia,Las Palmas,3900000,3,2,127
21396,Colonia,Mexicali,6113000,3,2,169
21353,Fraccionamiento,Juventud Deportiva 2000,4800000,4,4,206
21387,Colonia,5 de Julio,810000,3,2,75
21355,Fraccionamiento,Buenos Aires,475200,2,1,133
21395,Fraccionamiento,La Condesa,1986564,2,2,179
21376,Fraccionamiento,Residencial Segovia,6500000,3,3,193
21270,Colonia,Santa Teresa,6800000,3,2,150
21399,Fraccionamiento,Hacienda del Río,2580000,3,2,89
21383,Fraccionamiento,Privadas Campestre,1835000,2,1,64
21255,Fraccionamiento,Villas San Ángel,10712000,4,4,286
21378,Fraccionamiento,La Toscana Residencial,4648976,3,2,202
21376,Fraccionamiento,Misión del Valle,960000,2,1,65
21323,Fraccionamiento,Residencial Barcelona,2700000,3,2,103
21387,Fraccionamiento,Laguna Campestre,4315000,3,3,148
21188,Colonia,Progreso,555000,2,1,95
21376,Fraccionamiento,Misión del Valle,5779200,3,3,155
21376,Fraccionamiento,Bosque del Sol,3950000,2,1,234
21217,Colonia,Andalucía,2100000,3,2,96
21010,Colonia,Industrial,4200000,4,3,255
21395,Fraccionamiento,Altaria Residencial,5150000,3,2,163
21376,Fraccionamiento,Palmar de Santa Anita,4450000,3,3,155
21254,Fraccionamiento,Residencial Coronado,5950000,3,3,145
21255,Fraccionamiento,Residencial Casa Maya II,6750000,3,2,232
21270,Colonia,Santa Teresa,8650000,2,3,304
21298,Fraccionamiento,Villa Colonial,1500000,1,1,38
21355,Fraccionamiento,Quinta Roma (Quinta Córdova),4900000,3,2,168
21224,Colonia,Poblado Compuertas,11500000,3,3,412
21600,Colonia,Cauces Federales,850000,2,1,45
21339,Colonia,Ampliación Jardines del Lago,7900000,3,2,200
21376,Colonia,Plutarco Elías Calles,5900000,4,3,252
21200,Colonia,Cuauhtémoc Sur,3980000,3,2,150
